,INTJ,INTJ_count,INTP,INTP_count,ISFJ,ISFJ_count,ISFP,ISFP_count,ISTJ,ISTJ_count,ISTP,ISTP_count,ENFJ,ENFJ_count,ENFP,ENFP_count,ENTJ,ENTJ_count,ENTP,ENTP_count,ESFJ,ESFJ_count,ESFP,ESFP_count,ESTJ,ESTJ_count,ESTP,ESTP_count,INFJ,INFJ_count,INFP,INFP_count
0,like,135639,like,157408,like,4830,like,7424,like,8614,like,22469,like,10573,like,44550,like,17221,like,77544,like,1497,like,3230,think,2894,like,10652,like,103099,like,90730
1,people,120376,think,141470,think,4166,think,6080,get,6606,get,18510,think,9263,get,35113,get,14923,think,69750,think,1352,think,2241,like,2670,get,8959,think,89207,think,72434
2,think,115525,people,125874,people,3466,get,4311,think,6484,people,17846,people,8966,think,34808,people,14603,people,61030,people,1048,people,1931,people,2089,people,8407,people,83556,people,62124
3,get,110972,get,121700,get,3318,people,4264,people,5670,think,17448,feel,7461,people,32680,think,14526,get,60010,get,914,get,1781,get,1893,think,8297,get,76173,get,60677
4,make,85592,thing,95793,thing,2858,thing,3609,go,5117,thing,12584,get,7221,feel,29092,make,10787,make,46477,type,890,know,1464,type,1861,would,7023,feel,72804,feel,59916
5,thing,85016,make,94111,feel,2651,know,3448,thing,4807,go,12453,make,6324,thing,25557,one,10280,thing,44068,know,848,type,1457,det,1752,one,6164,thing,60756,thing,48427
6,go,78184,one,86266,make,2581,feel,3376,time,4797,make,12200,know,6302,make,25483,would,9738,one,41359,make,719,say,1438,er,1745,make,5850,know,60459,know,46845
7,one,78049,know,82822,say,2489,really,3305,make,4626,say,12105,thing,5901,know,24557,good,9708,know,40932,esfj,719,make,1373,would,1528,know,5635,make,58497,make,46627
8,know,76723,would,82305,know,2431,say,3250,know,4611,know,11502,say,5455,go,23377,know,9628,say,40871,say,710,one,1344,make,1509,say,5611,go,54304,really,45153
9,time,76397,say,81820,really,2394,make,3181,would,4531,would,11379,really,5440,time,22491,thing,9350,go,39112,feel,693,thing,1327,say,1487,go,5524,time,54177,one,44193
